10000 50000
84 8811 321
7905 9111 239
5865 6638 551
4943 8320 53
6739 8645 557
7474 2565 645
5281 2373 442
5613 5129 336
5956 4288 184
2519 9600 614
9821 9683 425
9141 7587 535
3379 9803 524
8281 1097 844
2685 7835 488
4593 5308 405
8238 6940 129
9679 8905 257
9014 1212 897
2197 3730 848
4163 3550 530
8587 2690 468
8473 2421 270
4996 7053 367
6191 6090 553
9679 682 213
8435 8919 152
9563 4949 56
2171 315 268
9067 2511 349
8266 6673 251
795 1611 292
7262 83 64
9884 1431 117
3602 7621 558
5154 3651 591
8366 2085 510
8518 7999 810
3925 170 124
544 5588 987
893 3854 11
1143 1000 622
434 4614 56
4850 4497 486
6318 8098 459
3875 9603 109
8465 7969 546
8326 2838 544
3136 6762 65
4611 3658 5
8597 4550 858
5608 2044 857
4229 8829 822
9284 3678 318
2122 9995 767
2580 221 370
6688 5038 690
5585 3363 527
2481 2850 640
9545 7461 297
8549 6057 198
7758 1664 241
7967 2244 422
2788 1528 451
8458 1 798
2224 2580 18
1945 5619 55
9634 1204 770
6512 3684 619
152 9580 431
3800 4481 840
1998 8590 503
8590 2908 99
363 5696 626
5814 505 978
7611 2728 557
5980 1025 175
9387 658 730
6156 3522 765
2126 3673 345
5557 3824 177
1396 5821 766
5250 763 26
1348 7477 721
5325 3290 225
9302 7252 304
5858 3232 680
4385 2618 338
4114 5125 859
3879 7250 883
9575 9158 706
6103 6905 879
1220 2155 993
9245 3502 469
2965 5179 111
3541 832 362
3197 6690 945
3876 7426 914
1565 1539 38
2775 1769 640
4009 1343 797
9067 3797 702
9945 5017 208
4289 4261 61
9757 3578 239
1219 7118 71
3581 6666 112
1877 6894 889
9143 8458 427
5180 7585 548
1171 1593 242
6320 659 39
2021 6955 55
2580 7595 315
6640 7352 892
2231 4922 362
8653 4854 379
1764 6731 272
8652 5873 82
3430 7404 666
6329 4927 610
571 1246 621
4961 9618 575
8015 2197 170
1681 8836 873
8925 7418 794
3286 6070 1000
7016 7833 730
1288 2836 954
369 2618 709
3386 8946 635
7995 5868 880
9615 828 497
4542 5194 45
7063 6875 233
6935 5799 650
8080 5436 720
4079 2451 904
3160 90 92
4465 458 709
3174 3843 6
6808 8190 874
8040 7804 53
2536 2345 247
1933 9407 121
165 2693 271
5814 7125 58
3885 7555 860
9789 7067 950
1232 1531 759
5292 4704 954
8297 7864 143
3522 5903 298
