999 5000
38 120 801
734 368 545
683 79 126
702 120 648
211 819 610
48 839 376
152 419 216
869 42 778
164 174 171
430 594 519
725 631 797
110 365 736
753 767 199
933 188 114
358 117 676
855 164 480
136 315 147
18 903 22
324 785 656
983 933 862
605 658 188
347 486 802
174 958 131
798 891 958
822 967 440
385 542 876
504 677 288
761 413 644
61 736 106
532 438 138
598 43 940
13 108 962
511 1 451
495 798 533
667 339 207
955 442 83
407 665 240
892 426 541
999 486 467
891 737 836
435 54 519
637 784 15
44 15 61
689 509 855
663 176 511
604 849 407
88 257 24
965 149 156
975 867 879
720 758 850
903 912 578
847 549 603
617 592 77
388 999 482
674 662 777
19 266 751
805 353 281
693 38 6
289 13 568
808 451 424
64 73 712
92 919 723
185 256 66
11 643 247
64 36 94
293 773 166
372 297 896
425 989 525
346 997 593
415 805 567
961 587 633
138 678 663
863 581 22
898 310 419
933 374 708
629 666 104
310 756 13
63 900 459
851 246 948
372 661 711
62 341 597
105 197 833
505 60 75
161 958 401
178 610 939
949 239 169
493 268 843
334 330 240
164 181 717
272 271 194
622 332 94
559 156 129
893 660 20
528 540 538
472 436 577
508 104 583
210 597 72
106 930 588
183 94 359
225 84 627
926 424 660
688 701 740
646 595 233
382 123 807
795 313 584
99 820 921
79 748 272
326 854 354
621 755 625
816 979 384
282 625 341
79 313 444
32 677 878
363 777 717
952 572 713
977 671 452
107 468 159
551 513 323
644 852 183
549 668 161
537 949 97
667 29 437
499 778 957
924 141 380
910 811 597
208 788 479
45 614 16
629 165 928
786 528 802
417 77 699
28 333 247
981 999 104
248 498 10
909 142 549
349 770 527
360 977 527
760 22 174
628 369 35
447 873 870
118 291 599
456 37 310
182 19 695
935 266 196
467 176 692
857 243 955
777 602 642
486 362 259
807 708 614
294 155 379
745 990 90
555 447 555
415 628 221
275 564 876
352 749 477
288 326 755
994 103 306
397 588 312
820 396 789
332 408 311
998 154 737
392 427 764
104 560 638
552 835 463
267 905 600
874 911 244
444 624 625
614 21 919
147 841 2
106 891 908
937 889 507
760 282 749
748 104 944
84 656 137
981 922 172
67 515 796
758 677 261
990 292 558
92 438 299
26 262 97
367 917 681
300 397 142
658 145 386
577 228 280
50 928 404
146 713 234
872 191 526
504 181 936
874 272 128
805 16 890
627 101 532
57 400 495
768 777 894
302 354 365
210 123 724
758 986 570
821 577 497
562 799 130
594 674 739
501 198 325
669 824 499
474 599 65
674 367 826
20 387 669
312 315 787
968 73 351
620 894 155
462 175 813
203 488 233
215 988 66
960 377 408
807 850 291
772 524 210
514 263 548
328 574 586
983 261 429
625 881 960
562 62 704
299 983 299
709 198 520
754 877 257
623 403 745
92 893 479
645 126 351
304 172 78
996 155 383
762 498 188
858 779 637
130 78 562
888 506 701
355 260 731
915 883 150
327 693 22
699 338 876
615 360 29
823 357 970
11 837 51
80 695 425
928 825 608
42 713 833
789 786 165
415 421 10
161 466 659
519 165 673
2 779 247
375 321 671
622 331 21
367 129 609
609 57 841
928 98 663
192 606 596
714 739 951
557 618 769
374 137 880
247 857 634
198 232 812
506 572 444
369 938 719
927 547 623
311 195 71
127 105 762
447 818 131
906 375 623
113 467 613
483 432 679
351 348 497
539 853 390
776 941 406
143 868 675
285 898 451
524 743 623
88 908 299
390 814 544
310 926 16
86 409 35
718 759 551
302 298 236
457 792 109
269 654 482
900 181 209
277 268 524
190 376 739
196 404 622
668 490 404
291 926 366
543 228 23
86 403 819
569 391 119
920 737 898
171 638 578
163 633 272
782 542 110
215 737 362
855 125 993
341 415 33
867 676 977
128 761 216
181 330 154
887 251 817
251 140 8
794 21 349
605 802 137
510 18 619
538 591 459
336 931 395
779 517 624
170 364 735
962 544 538
864 151 164
784 120 456
780 914 975
409 238 595
579 748 56
923 286 979
674 340 472
277 838 899
836 8 284
876 688 797
247 552 203
304 336 103
782 834 427
999 243 94
19 540 212
493 464 847
838 856 991
553 133 677
785 687 585
380 564 578
956 529 161
964 832 503
811 614 610
571 332 184
569 70 7
34 562 403
502 400 478
30 672 330
394 457 231
766 555 618
825 512 677
156 195 275
540 724 165
758 15 727
220 302 853
940 55 950
124 556 349
882 304 520
491 698 714
69 464 214
647 8 817
754 163 77
694 421 447
966 180 3
570 399 542
244 339 922
197 463 693
550 64 847
294 554 411
213 342 970
406 988 805
110 743 374
446 437 233
507 403 345
300 691 189
395 934 826
544 850 308
968 400 464
415 413 976
840 625 777
448 31 780
63 859 718
559 305 513
477 530 681
573 549 949
69 943 520
341 207 345
75 893 124
872 308 375
942 866 163
354 314 407
753 376 922
334 935 784
350 412 441
488 703 598
317 491 796
798 831 605
849 905 69
300 777 386
163 438 614
369 791 74
325 264 923
140 597 533
978 665 489
347 153 135
982 188 12
561 705 945
66 554 242
462 853 717
167 734 347
455 103 906
58 428 879
36 286 631
386 264 675
148 329 42
612 311 330
287 591 761
73 375 328
483 836 154
671 721 613
16 895 571
151 952 435
550 706 126
264 92 426
362 239 129
613 569 182
770 855 382
632 647 333
766 130 808
472 519 191
630 253 97
890 404 951
298 672 27
990 654 209
665 17 633
669 348 434
703 118 326
327 749 903
45 234 110
317 424 310
310 54 555
199 662 101
39 959 475
304 668 11
378 53 680
691 721 579
292 424 333
747 470 406
569 233 125
239 549 291
427 577 220
868 775 131
713 533 809
948 555 381
838 932 271
462 342 311
434 633 332
241 100 770
797 387 606
305 625 351
955 52 195
658 920 532
742 352 367
786 301 727
935 857 820
418 38 280
340 190 242
405 431 33
939 946 555
425 251 621
178 206 541
508 583 220
332 325 758
407 829 334
37 764 958
317 182 310
939 241 671
633 364 671
425 23 419
604 447 40
844 344 823
137 570 989
68 901 20
70 308 427
371 344 888
967 379 375
601 38 848
424 670 342
397 95 625
315 417 654
484 262 132
297 117 901
972 185 844
692 972 31
242 62 836
274 29 79
487 629 390
941 772 363
478 887 326
37 202 539
760 405 973
828 701 816
465 392 288
722 85 202
5 45 188
350 318 554
355 523 315
116 464 140
546 660 700
789 415 765
450 176 79
372 4 112
411 187 853
352 627 24
266 632 52
241 981 472
962 55 362
33 888 571
874 153 790
322 941 645
971 392 140
25 482 759
498 892 50
82 963 914
749 947 676
180 906 228
646 868 648
635 620 325
807 213 973
